name,country,country_code,city,address,latitude,longitude,parent_group,website,founded_year,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,reporting_year,mobile_banking,mobile_banking_evidence,open_banking,open_banking_evidence,digital_onboarding,digital_onboarding_evidence,ai_chatbot,ai_chatbot_evidence,devops_cloud,devops_cloud_evidence,featured
Varbergs Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.varbergssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Vimmerby Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.vimmerbysparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Virserums Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.virserumssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Ålems Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.alemssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Åse Viste Sparbank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.aseochvisteharadssparbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Ölands Bank,Sweden,SE,,,60.1282,18.6435,Sparbankernas Riksförbund,https://www.olandsbank.se,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Aachen,Germany,DE,Aachen,,50.776351,6.083862,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Ostalb,Germany,DE,Aalen,,48.8375607,10.0929593,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Westmünsterland,Germany,DE,Ahaus,,52.0761541,7.004876,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Altbayern,Germany,DE,Aichach,,48.4591478,11.1309953,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
